image_id,label
test_1000a,candy
test_1000b,juice
test_1000c,jam
test_1000d,water
test_1001a,cereal
test_1001b,tea
test_1001c,cereal
test_1001d,juice
test_1002a,candy
test_1002b,cereal
test_1002c,jam
test_1002d,candy
test_1003a,tea
test_1003b,water
test_1003c,oil
test_1003d,cereal
test_1004a,coffee
test_1004b,water
test_1004c,water
test_1004d,candy
test_1005a,tea
test_1005b,jam
test_1005c,coffee
test_1005d,candy
test_1006a,jam
test_1006b,jam
test_1006c,candy
test_1006d,jam
test_1007a,cereal
test_1007b,water
test_1007c,jam
test_1007d,coffee
test_1008a,chocolate
test_1008b,juice
test_1008c,cereal
test_1008d,soda
test_1009a,water
test_1009b,coffee
test_1009c,water
test_1009d,candy
test_1010a,jam
test_1010b,tomatosauce
test_1010c,water
test_1010d,cereal
test_1011a,cereal
test_1011b,cereal
test_1011c,cereal
test_1011d,cereal
test_1012a,candy
test_1012b,water
test_1012c,coffee
test_1012d,juice
test_1013a,candy
test_1013b,candy
test_1013c,coffee
test_1013d,coffee
test_1014a,tomatosauce
test_1014b,coffee
test_1014c,cereal
test_1014d,cereal
test_1015a,cereal
test_1015b,coffee
test_1015c,tomatosauce
test_1015d,cereal
test_1016a,coffee
test_1016b,candy
test_1016c,cereal
test_1016d,coffee
test_1017a,candy
test_1017b,water
test_1017c,cereal
test_1017d,candy
test_1018a,candy
test_1018b,jam
test_1018c,water
test_1018d,water
test_1019a,candy
test_1019b,jam
test_1019c,candy
test_1019d,coffee
test_1020a,water
test_1020b,cereal
test_1020c,oil
test_1020d,cereal
test_1021a,coffee
test_1021b,candy
test_1021c,cereal
test_1021d,cereal
test_1022a,oil
test_1022b,jam
test_1022c,candy
test_1022d,tomatosauce
test_1023a,candy
test_1023b,jam
test_1023c,chocolate
test_1023d,water
test_1024a,coffee
test_1024b,jam
test_1024c,coffee
test_1024d,juice
test_1025a,candy
test_1025b,water
test_1025c,tea
test_1025d,coffee
test_1026a,tea
test_1026b,candy
test_1026c,cereal
test_1026d,juice
test_1027a,juice
test_1027b,tea
test_1027c,sugar
test_1027d,candy
test_1028a,cereal
test_1028b,juice
test_1028c,cereal
test_1028d,cereal
test_1029a,water
test_1029b,water
test_1029c,cereal
test_1029d,candy
test_1030a,tea
test_1030b,water
test_1030c,jam
test_1030d,jam
test_1031a,cereal
test_1031b,cereal
test_1031c,juice
test_1031d,cereal
test_1032a,water
test_1032b,jam
test_1032c,water
test_1032d,cereal
test_1033a,cereal
test_1033b,oil
test_1033c,water
test_1033d,cereal
test_1034a,spices
test_1034b,tea
test_1034c,soda
test_1034d,jam
test_1035a,juice
test_1035b,coffee
test_1035c,jam
test_1035d,soda
test_1036a,candy
test_1036b,jam
test_1036c,jam
test_1036d,tea
test_1037a,jam
test_1037b,water
test_1037c,juice
test_1037d,cereal
test_1038a,cereal
test_1038b,juice
test_1038c,jam
test_1038d,candy
test_1039a,coffee
test_1039b,candy
test_1039c,tea
test_1039d,candy
test_1040a,chocolate
test_1040b,cereal
test_1040c,water
test_1040d,tea
test_1041a,coffee
test_1041b,water
test_1041c,juice
test_1041d,coffee
test_1042a,oil
test_1042b,juice
test_1042c,water
test_1042d,tea
test_1043a,spices
test_1043b,water
test_1043c,juice
test_1043d,oil
test_1044a,water
test_1044b,juice
test_1044c,spices
test_1044d,tomatosauce
test_1045a,water
test_1045b,jam
test_1045c,cereal
test_1045d,coffee
test_1046a,cereal
test_1046b,candy
test_1046c,chocolate
test_1046d,soda
test_1047a,jam
test_1047b,water
test_1047c,coffee
test_1047d,water
test_1048a,water
test_1048b,chocolate
test_1048c,cereal
test_1048d,candy
test_1049a,cereal
test_1049b,cereal
test_1049c,water
test_1049d,coffee
test_1050a,water
test_1050b,oil
test_1050c,chocolate
test_1050d,juice
test_1051a,coffee
test_1051b,candy
test_1051c,cereal
test_1051d,jam
test_1052a,coffee
test_1052b,candy
test_1052c,cereal
test_1052d,cereal
test_1053a,water
test_1053b,cereal
test_1053c,water
test_1053d,chocolate
test_1054a,juice
test_1054b,cereal
test_1054c,water
test_1054d,water
test_1055a,jam
test_1055b,water
test_1055c,cereal
test_1055d,candy
test_1056a,juice
test_1056b,jam
test_1056c,jam
test_1056d,jam
test_1057a,water
test_1057b,cereal
test_1057c,candy
test_1057d,water
test_1058a,candy
test_1058b,candy
test_1058c,cereal
test_1058d,coffee
test_1059a,water
test_1059b,candy
test_1059c,jam
test_1059d,water
test_1060a,water
test_1060b,vinegar
test_1060c,tea
test_1060d,juice
test_1061a,water
test_1061b,cereal
test_1061c,jam
test_1061d,water
test_1062a,coffee
test_1062b,jam
test_1062c,water
test_1062d,coffee
test_1063a,cereal
test_1063b,cereal
test_1063c,cereal
test_1063d,jam
test_1064a,cereal
test_1064b,water
test_1064c,cereal
test_1064d,vinegar
test_1065a,water
test_1065b,coffee
test_1065c,juice
test_1065d,cereal
test_1066a,jam
test_1066b,water
test_1066c,tomatosauce
test_1066d,jam
test_1067a,cereal
test_1067b,cereal
test_1067c,juice
test_1067d,cereal
test_1068a,cereal
test_1068b,juice
test_1068c,juice
test_1068d,candy
test_1069a,candy
test_1069b,water
test_1069c,candy
test_1069d,jam
test_1070a,coffee
test_1070b,juice
test_1070c,water
test_1070d,cereal
test_1071a,water
test_1071b,tea
test_1071c,tomatosauce
test_1071d,cereal
test_1072a,coffee
test_1072b,tomatosauce
test_1072c,water
test_1072d,candy
test_1073a,jam
test_1073b,jam
test_1073c,candy
test_1073d,water
test_1074a,cereal
test_1074b,water
test_1074c,cereal
test_1074d,juice
test_1075a,tomatosauce
test_1075b,tea
test_1075c,cereal
test_1075d,candy
test_1076a,juice
test_1076b,coffee
test_1076c,tea
test_1076d,cereal
test_1077a,candy
test_1077b,tea
test_1077c,juice
test_1077d,coffee
test_1078a,tomatosauce
test_1078b,coffee
test_1078c,water
test_1078d,candy
test_1079a,coffee
test_1079b,cereal
test_1079c,tea
test_1079d,cereal
test_1080a,cereal
test_1080b,water
test_1080c,coffee
test_1080d,juice
test_1081a,water
test_1081b,water
test_1081c,candy
test_1081d,water
test_1082a,water
test_1082b,juice
test_1082c,juice
test_1082d,jam
test_1083a,cereal
test_1083b,jam
test_1083c,candy
test_1083d,water
test_1084a,coffee
test_1084b,water
test_1084c,cereal
test_1084d,candy
test_1085a,water
test_1085b,coffee
test_1085c,coffee
test_1085d,coffee
test_1086a,coffee
test_1086b,water
test_1086c,candy
test_1086d,tomatosauce
test_1087a,water
test_1087b,water
test_1087c,water
test_1087d,coffee
test_1088a,cereal
test_1088b,coffee
test_1088c,cereal
test_1088d,water
test_1089a,candy
test_1089b,jam
test_1089c,water
test_1089d,juice
test_1090a,juice
test_1090b,jam
test_1090c,water
test_1090d,tomatosauce
test_1091a,coffee
test_1091b,cereal
test_1091c,tea
test_1091d,water
test_1092a,juice
test_1092b,cereal
test_1092c,water
test_1092d,coffee
test_1093a,water
test_1093b,coffee
test_1093c,water
test_1093d,cereal
test_1094a,coffee
test_1094b,water
